"title","video_url","duration","thumbnail_url","channel_name","channel_url","relative_date","estimated_date"
"Quinta Brunson Prank Calls Ayo Edebiri, Brett Goldstein, Niecy Nash & More | Phoning It In | ELLE","https://www.youtube.com/watch?v=UXa839Gx8qg","9:24","https://i.ytimg.com/vi/UXa839Gx8qg/hqdefault.jpg","ELLE","https://www.youtube.com/@ELLE","10d ago",""
"Something is jamming GPS over Europe. Here's what we found","https://www.youtube.com/watch?v=tz23G_UXCGA","34:17","https://i.ytimg.com/vi/tz23G_UXCGA/hqdefault.jpg","Veritasium","https://www.youtube.com/@veritasium","2w ago",""
"QUI CONNAÎT LE PLUS DE MEMES (IRL) ? (feat SQUEEZIE & ADÈLE CASTILLON)","https://www.youtube.com/watch?v=OR0JMeZCayQ","54:59","https://i.ytimg.com/vi/OR0JMeZCayQ/hqdefault.jpg","Mister V","https://www.youtube.com/@mistervofficial","13d ago",""
"The Truth About the ""Whoop Killer""","https://www.youtube.com/watch?v=9GSDvO0LFFE","17:42","https://i.ytimg.com/vi/9GSDvO0LFFE/hqdefault.jpg","Marques Brownlee","https://www.youtube.com/@mkbhd","3w ago",""
"What toys have kids played with throughout history?","https://www.youtube.com/watch?v=aob7rM5PV5A","5:22","https://i.ytimg.com/vi/aob7rM5PV5A/hqdefault.jpg","TED-Ed","https://www.youtube.com/@TEDEd","3w ago",""
"La science terrifiante de la kétamine","https://www.youtube.com/watch?v=Cn0iA0KFXnE","13:50","https://i.ytimg.com/vi/Cn0iA0KFXnE/hqdefault.jpg","Dr Nozman","https://www.youtube.com/@DrNozman","3w ago",""
"Lupita Nyong'o is Obsessed with 'Abbott Elementary' | Ask Me Anything | ELLE","https://www.youtube.com/watch?v=K7uQeXNZcvo","6:56","https://i.ytimg.com/vi/K7uQeXNZcvo/hqdefault.jpg","ELLE","https://www.youtube.com/@ELLE","3w ago",""
"The Dark History Behind Classic Nursery Rhymes | Mental Floss","https://www.youtube.com/watch?v=SDtQ17XHwQY","9:53","https://i.ytimg.com/vi/SDtQ17XHwQY/hqdefault.jpg","Mental Floss","https://www.youtube.com/@MentalFloss","3w ago",""
"Zendaya Has Been Dreaming Up Her Wedding Dress Since Kindergarten | Clothes of Our Lives | ELLE","https://www.youtube.com/watch?v=rlqPAq06wgQ","8:15","https://i.ytimg.com/vi/rlqPAq06wgQ/hqdefault.jpg","ELLE","https://www.youtube.com/@ELLE","3w ago",""
"Emily Blunt Is Up to the Challenge While Eating Spicy Wings | Hot Ones","https://www.youtube.com/watch?v=6rXotBDLLyE","25:18","https://i.ytimg.com/vi/6rXotBDLLyE/hqdefault.jpg","First We Feast","https://www.youtube.com/@FirstWeFeast","3w ago",""
"Why your best ideas usually start as bad ones | Think Like A Musician","https://www.youtube.com/watch?v=BlK23YzqXOM","4:53","https://i.ytimg.com/vi/BlK23YzqXOM/hqdefault.jpg","","","3w ago",""
"The Hidden Tech Behind an NBA Broadcast!","https://www.youtube.com/watch?v=mk_wdHePbtQ","11:03","https://i.ytimg.com/vi/mk_wdHePbtQ/hqdefault.jpg","Marques Brownlee","https://www.youtube.com/@mkbhd","3w ago",""
"Can there ever really be “one China?”","https://www.youtube.com/watch?v=ZOJ1lX8ykhg","13:19","https://i.ytimg.com/vi/ZOJ1lX8ykhg/hqdefault.jpg","Vox","https://www.youtube.com/@Vox","3w ago",""
"Charlize Theron is the Ultimate Fangirl | Ask Me Anything | ELLE","https://www.youtube.com/watch?v=EIr9Jv1Qy6E","6:36","https://i.ytimg.com/vi/EIr9Jv1Qy6E/hqdefault.jpg","ELLE","https://www.youtube.com/@ELLE","3w ago",""
"Timbaland, Justin Blau - Can You Be Mine ft. Alice Aera(Official Music Video)","https://www.youtube.com/watch?v=iLQKsiwV05I","2:38","https://i.ytimg.com/vi/iLQKsiwV05I/hqdefault.jpg","Justin Blau and Timbaland","","3w ago",""
"Can Switzerland Stay Neutral?","https://www.youtube.com/watch?v=Y2v6rAK6pZs","17:30","https://i.ytimg.com/vi/Y2v6rAK6pZs/hqdefault.jpg","PolyMatter","https://www.youtube.com/@PolyMatter","3w ago",""
"Google Maps is unreasonably fast. Let me explain","https://www.youtube.com/watch?v=kS-CGkiPetQ","29:54","https://i.ytimg.com/vi/kS-CGkiPetQ/hqdefault.jpg","Veritasium and 2swap","","2w ago",""
"What is Umami? Master the 5th Taste with Two Simple Recipes | Flavor Forward","https://www.youtube.com/watch?v=Iv9u5qlHbSA","10:22","https://i.ytimg.com/vi/Iv9u5qlHbSA/hqdefault.jpg","America's Test Kitchen","https://www.youtube.com/@AmericasTestKitchen","2w ago",""
"Steel Absorbs Gas Like a Sponge","https://www.youtube.com/watch?v=IFqI11SIGXo","18:08","https://i.ytimg.com/vi/IFqI11SIGXo/hqdefault.jpg","Steve Mould","https://www.youtube.com/@SteveMould","2w ago",""
"2026 Nissan Leaf Graduated from Glow-Up University","https://www.youtube.com/watch?v=clsbuM6uf1A","12:01","https://i.ytimg.com/vi/clsbuM6uf1A/hqdefault.jpg","Auto Focus","https://www.youtube.com/@AutoFocus","2w ago",""
"The dark origins of Disney fairy tales - Claudia Schwabe","https://www.youtube.com/watch?v=pyDZpDkU46Y","5:31","https://i.ytimg.com/vi/pyDZpDkU46Y/hqdefault.jpg","TED-Ed","https://www.youtube.com/@TEDEd","2w ago",""
"How People With Meta Glasses Can Secretly Record You","https://www.youtube.com/watch?v=EaJSPeJmqis","7:46","https://i.ytimg.com/vi/EaJSPeJmqis/hqdefault.jpg","Joanna Stern","https://www.youtube.com/@JoannaStern","2w ago",""
"Charli xcx - SS26 (Official Video)","https://www.youtube.com/watch?v=twLhSqabby0","2:53","https://i.ytimg.com/vi/twLhSqabby0/hqdefault.jpg","Charli xcx","https://www.youtube.com/channel/UCOvEMf00DnwdkpOCRWdc6uA","4w ago",""
"Keke Palmer Prank Calls Teyana Taylor, Issa Rae & Boots Riley | Phoning It In | ELLE","https://www.youtube.com/watch?v=3wro92OUFnA","7:11","https://i.ytimg.com/vi/3wro92OUFnA/hqdefault.jpg","ELLE","https://www.youtube.com/@ELLE","4w ago",""
"Why Benzoyl Peroxide Helps… But Your Acne Comes Back","https://www.youtube.com/watch?v=vFkDKwJMaQ0","5:22","https://i.ytimg.com/vi/vFkDKwJMaQ0/hqdefault.jpg","Melissa Van Dijk","https://www.youtube.com/@MelissaVanDijkOfficial","4w ago",""
"The Uncomfortable Truth About Ozempic (Updated Version)","https://www.youtube.com/watch?v=TYhNHX372ek","15:53","https://i.ytimg.com/vi/TYhNHX372ek/hqdefault.jpg","Kurzgesagt – In a Nutshell","https://www.youtube.com/@kurzgesagt","1mo ago",""
"Why is getting bitten by a rabid animal so dangerous? - Charles Rupprecht","https://www.youtube.com/watch?v=gePOX4nbMU4","6:04","https://i.ytimg.com/vi/gePOX4nbMU4/hqdefault.jpg","TED-Ed","https://www.youtube.com/@TEDEd","1mo ago",""
"Edgar Allan Poe's story of the Red Death - Iseult Gillespie","https://www.youtube.com/watch?v=HdieAFhQtPo","7:06","https://i.ytimg.com/vi/HdieAFhQtPo/hqdefault.jpg","TED-Ed","https://www.youtube.com/@TEDEd","1mo ago",""
"Things You Think Are Ancient But Are Actually Modern | Mental Floss","https://www.youtube.com/watch?v=qwc4HZt4IPc","8:34","https://i.ytimg.com/vi/qwc4HZt4IPc/hqdefault.jpg","Mental Floss","https://www.youtube.com/@MentalFloss","1mo ago",""
"“The Biggest Android Update Ever”","https://www.youtube.com/watch?v=eFeDpUVEy48","12:59","https://i.ytimg.com/vi/eFeDpUVEy48/hqdefault.jpg","Marques Brownlee","https://www.youtube.com/@mkbhd","1mo ago",""
"The missing ingredient in how we learn","https://www.youtube.com/watch?v=mA1lnxfqHk8","5:50","https://i.ytimg.com/vi/mA1lnxfqHk8/hqdefault.jpg","TED-Ed","https://www.youtube.com/@TEDEd","1mo ago",""
"Le projet secret des soldats dopés !","https://www.youtube.com/watch?v=l1G-ID1yAes","12:45","https://i.ytimg.com/vi/l1G-ID1yAes/hqdefault.jpg","Dr Nozman","https://www.youtube.com/@DrNozman","1mo ago",""
"What would J.R.R. Tolkien think of Palantir?","https://www.youtube.com/watch?v=53cfZgDxEWY","11:36","https://i.ytimg.com/vi/53cfZgDxEWY/hqdefault.jpg","Vox","https://www.youtube.com/@Vox","1mo ago",""
"This is a Touchscreen MacBook","https://www.youtube.com/watch?v=8zGNeT8fU9Y","7:19","https://i.ytimg.com/vi/8zGNeT8fU9Y/hqdefault.jpg","Dave2D","https://www.youtube.com/@Dave2D","1mo ago",""
"Why New Smartphone Cameras Feel Worse","https://www.youtube.com/watch?v=coX4duwUCpw","7:23","https://i.ytimg.com/vi/coX4duwUCpw/hqdefault.jpg","Marques Brownlee","https://www.youtube.com/@mkbhd","1mo ago",""
